Symbol,Price,$ Change,% Change,Quantity,$ Unrealized,% Unrealized,Current Balance
VOO,705.3646850585938,-2.64532470703125,-0.3736281508091871,10.116,0.0,0.0,7135.469154052734
BSX,45.255001068115234,-2.5449981689453125,-5.324264036749422,5.0,-11.474994659423828,-4.826496176413809,226.27500534057617
FMC,12.744999885559082,-0.22500038146972656,-1.7347754574971188,22.0,37.28999748229978,15.33936548017268,280.3899974822998
LULU,103.12999725341797,2.5199966430664062,2.5047178489005284,5.0,-41.5500137329102,-7.456929959244472,515.6499862670898
NKE,38.04499816894531,-0.35500335693359375,-0.9244878719453863,7.0,-8.29501281738277,-3.020652131161564,266.3149871826172
RDDT,152.22999572753906,-2.230010986328125,-1.4437465294554581,5.0,452.3999786376953,146.5263088705086,761.1499786376953
ROL,35.13999938964844,-0.720001220703125,-2.007811512683815,7.0,-13.58000427246094,-5.231932606126113,245.97999572753906
SNAP,5.440000057220459,-0.029999732971191406,-0.5484412088092661,30.0,10.800001716613764,7.08661529961533,163.20000171661377
TTD,14.119999885559082,-0.3100004196166992,-2.1483050108149175,7.0,0.8399991989135742,0.8571420397077287,98.83999919891357
ZTS,74.58999633789062,-1.220001220703125,-1.609288035869125,3.0,-4.230010986328125,-1.8552679764597042,223.76998901367188
EZPZ,19.8700008392334,-0.17999839782714844,-0.8977476542464813,2.0,6.980001678466799,21.306476429996334,39.7400016784668
