Ticker,Final_Grade,Floor Tier,Status,Close Price,FCF_Yield,ROA,EV_EBITDA
CROX,92.0,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),117.53,0.09699001969190003,0.11993,7.721
DECK,91.0,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),85.81,0.07690116446562142,0.20319,7.97
FMS,79.5,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),22.66,0.16906893979084484,0.0398,8.433
OC,77.6,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),138.72,0.08291848673962192,0.05787,8.512
SHOO,73.7,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),43.68,0.06898845846785111,0.08144,12.654
SNA,73.2,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),383.0,0.05636065652651127,0.09849,13.778
ENOV,71.7,🟢 Strong Green (< -60),Live Strong Dot (Today),19.45,0.1642143317427449,0.01186,6.406
REYN,71.0,🟢 Strong Green (< -60),Live Strong Dot (Today),22.0,0.05259481136451305,0.06979,8.961
IP,70.5,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),37.24,0.08439540981930395,0.01591,7.346
FBIN,69.8,🟢 Strong Green (< -60),Live Strong Dot (Today),42.57,0.058962676381470895,0.054190002,10.483
BC,67.8,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),74.43,0.07822399329932962,0.033800002,11.313
WSM,65.9,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),227.42,0.03946630313851193,0.16636999,16.439
MTH,63.7,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),67.33,0.06936614023033287,0.03346,12.646
HON,61.0,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),209.61,0.03952291354298199,0.0572,10.869
MYRG,59.8,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),286.59,0.03892140216618378,0.08479,15.099
XYL,57.8,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),105.69,0.04646576495404214,0.051149998,13.499
DOV,54.4,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),192.88,0.03463642853235728,0.07061,14.396
EPRT,53.7,🟢 Strong Green (< -60),Live Strong Dot (Today),29.91,0.04712267043382509,0.03579,16.402
SXI,53.2,🟢 Strong Green (< -60),Live Strong Dot (Today),272.35,0.04942244276835304,0.060560003,19.476
FTV,51.5,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),56.94,0.05502996924425079,0.03295,16.548
URI,49.3,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),1009.86,0.026898644112866035,0.08768,16.655
HUBG,46.8,🟢 Strong Green (< -60),Live Strong Dot (Today),36.6,0.026447102107688126,0.03162,8.035
IR,46.3,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),76.36,0.03785903198591318,0.051020004,16.587
ODFL,46.3,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),185.87,0.025003503502935887,0.15775,21.345
BJRI,45.4,🟢 Strong Green (< -60),Live Strong Dot (Today),61.36,0.037810929598148364,0.0277,13.128
IEX,45.4,🟢 Strong Green (< -60),Live Strong Dot (Today),225.31,0.033482029221212975,0.0684,18.35
LGIH,44.9,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),55.0,0.16906855253319106,0.01075,38.343
TDG,44.4,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),1162.05,0.022986497862082088,0.11817,18.651
VMC,42.9,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),262.63,0.025143855760136172,0.06044,16.58
MAC,41.5,🟢 Strong Green (< -60),Live Strong Dot (Today),23.62,0.05581846074784576,0.01342,21.18
MAR,40.2,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),336.51,0.023885945770841934,0.09761,21.824
OSW,39.0,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),22.4,0.021260396904565205,0.08231,18.849
AMAT,35.4,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),454.71,0.008233265293733515,0.15482001,35.349
TRNO,34.1,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),65.65,0.04419318012427199,0.02437,26.479
EGP,34.1,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),198.62,0.035250950551348324,0.03543,24.956
MPWR,31.5,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),1223.86,0.007370957484307713,0.13573,58.733
UNF,28.5,🟢 Strong Green (< -60),Live Strong Dot (Today),275.13,0.019830928932255035,0.03348,16.712
H,17.3,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),165.85,0.011044261112913149,0.02192,23.744
TTWO,16.6,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),214.69,0.031241496875842035,-0.00621,53.83
WY,8.5,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),23.02,0.000831505886211677,0.00674,31.269
TFIN,3.2,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),69.6,0.0,0.00556,100.0
