Symbol,Price,$ Change,% Change,Quantity,$ Unrealized,% Unrealized,Current Balance
VOO,696.2000122070312,-3.0999755859375,-0.4432969598242383,10.415,0.0,0.0,7250.92312713623
BSX,43.869998931884766,-1.1800003051757812,-2.6193125974684808,5.0,-18.400005340576172,-7.739224118013112,219.34999465942383
RDDT,159.6300048828125,-2.75,-1.6935582690643707,5.0,489.4000244140625,158.51012936487854,798.1500244140625
ROL,33.77000045776367,-1.5400009155273438,-4.361373139713957,7.0,-23.1699967956543,-8.926643857163777,236.3900032043457
SNAP,5.829999923706055,-0.010000228881835938,-0.1712367914477625,30.0,22.499997711181635,14.763778025709733,174.89999771118164
TTD,15.0,0.029999732971191406,0.20039901426899334,7.0,7.0,7.142857142857142,105.0
ZTS,73.43000030517578,-0.23999786376953125,-0.32577422252563515,3.0,-7.709999084472656,-3.3815785458213408,220.29000091552734
EZPZ,19.156999588012695,-0.8929996490478516,-4.453863755751299,2.0,5.553999176025393,16.95359943841695,38.31399917602539
RUN,8.399999618530273,0.06999969482421875,0.840332478575529,28.0,-20.860010681152346,-8.14653232881057,235.19998931884766
AMZN,248.4199981689453,-5.1199951171875,-2.019403349675617,1.0,-2.8500018310546977,-1.1342387993213268,248.4199981689453
