Ticker,Close Price,Sell Alerts,Weekly WT1,Weekly StochRSI
BSX,43.34,🔴 Sell 2: Weekly Red Dot (Confirmed Last Week),-32.1,59.8
ZTS,71.4,🔴 Sell 2: Weekly Red Dot (Confirmed Last Week),-40.6,64.8
