Ticker,Final_Grade,Floor Tier,Status,Close Price,FCF_Yield,ROA,EV_EBITDA
ABEV,95.2,🟢 Oversold Floor,Confirmed (Previous),3.02,0.42504258174647713,0.10296,1.183
APTV,86.4,🟢🟢 Deep Floor,Live (Unfinished),45.06,0.17261504257501795,0.067150004,4.381
PZZA,79.2,🟢🟢 Deep Floor,Live (Unfinished),21.78,0.08219262249701255,0.077309996,8.319
CRUS,78.8,🟢🟢 Deep Floor,Live (Unfinished),115.72,0.07755569439435604,0.12163,9.126
TTD,77.2,🟢🟢 Deep Floor,Confirmed (Previous),14.43,0.0898426074590831,0.06252,7.838
ASO,71.2,🟢 Oversold Floor,Live (Unfinished),53.83,0.049234361523959866,0.06678,6.929
OLN,66.8,🟢🟢 Deep Floor,Live (Unfinished),17.22,0.15908740914935426,0.01074,8.305
AROC,66.0,🟢 Oversold Floor,Live (Unfinished),32.46,0.042345329561919255,0.08123,9.526
HWKN,60.8,🟢🟢 Deep Floor,Confirmed (Previous),129.13,0.03211864308298917,0.07048,8.479
SEDG,60.0,🟢 Oversold Floor,Live (Unfinished),35.92,0.05131841109433268,-0.03835,-16.735
WING,58.8,🟢🟢 Deep Floor,Live (Unfinished),110.14,0.03286555529642229,0.18971,17.765
WSO,55.6,🟢🟢 Deep Floor,Confirmed (Previous),315.13,0.037972431615670606,0.08369,17.833
GPI,54.8,🟢🟢 Deep Floor,Confirmed (Previous),300.76,0.04054253207675904,0.05499,8.757
APP,54.4,🟢🟢 Deep Floor,Live (Unfinished),314.46,0.030065618286992484,0.4646,18.939
SGI,54.2,🟢 Oversold Floor,Confirmed (Previous),69.87,0.04990207086412149,0.05534,16.215
CWEN,50.8,🟢 Oversold Floor,Live (Unfinished),31.75,0.05384162468227787,0.00975,14.768
PRIM,36.8,🟢 Oversold Floor,Live (Unfinished),73.03,0.020229728999375352,0.029879998,15.656
STAA,31.2,🟢 Oversold Floor,Live (Unfinished),23.66,0.012947908814489891,0.05649,20.876
PEG,30.8,🟢🟢 Deep Floor,Live (Unfinished),72.76,0.0029734286639248194,0.03238,13.594
WMT,30.0,🟢🟢 Deep Floor,Live (Unfinished),105.93,0.008456275910526185,0.06414,20.642
GME,26.8,🟢🟢 Deep Floor,Confirmed (Previous),19.16,0.00933380893296415,0.02861,16.23
MIR,26.4,🟢🟢 Deep Floor,Confirmed (Previous),16.93,0.029078710243769984,0.0143,22.105
BWXT,24.2,🟢🟢 Deep Floor,Live (Unfinished),152.95,0.010366572947195505,0.05534,33.095
IPGP,18.4,🟢🟢 Deep Floor,Confirmed (Previous),78.0,0.013589046007881191,0.0097,24.525
WD,5.2,🟢🟢 Deep Floor,Live (Unfinished),40.45,0.0,0.008590001,100.0
