Ticker,Final_Grade,Floor Tier,Status,Close Price,FCF_Yield,ROA,EV_EBITDA
ABEV,95.4,🟢 Oversold Floor,Live (Unfinished),2.99,0.4307287351489806,0.10296,1.114
INVA,78.5,🟢 Oversold Floor,Confirmed (Previous),20.96,0.07153108647221211,0.06949,6.626
TTD,76.9,🟢🟢 Deep Floor,Live (Unfinished),14.55,0.0852732909305079,0.06252,7.771
CC,56.9,🟢🟢 Deep Floor,Confirmed (Previous),15.88,0.12845236575189387,0.01418,11.801
AGCO,54.6,🟢 Oversold Floor,Confirmed (Previous),110.9,0.050749127173050565,0.03472,11.046
NYT,52.3,🟢🟢 Deep Floor,Confirmed (Previous),68.12,0.0421350222100019,0.103879996,18.392
SGI,51.5,🟢 Oversold Floor,Live (Unfinished),67.82,0.048217082340308935,0.05534,15.459
GPI,51.5,🟢🟢 Deep Floor,Live (Unfinished),276.41,0.040981091792168925,0.05499,8.548
UTHR,46.9,🟢 Oversold Floor,Confirmed (Previous),527.91,0.026400769047722795,0.11607,12.325
JBGS,46.2,🟢🟢 Deep Floor,Confirmed (Previous),12.1,0.27079548198319725,0.00068999996,19.253
ACM,46.2,🟢 Oversold Floor,Live (Unfinished),66.46,0.04441421901985101,0.03728,11.847
CCI,27.7,🟢 Oversold Floor,Confirmed (Previous),75.03,0.0314577018895395,0.04725,20.308
MIR,15.4,🟢🟢 Deep Floor,Live (Unfinished),15.57,0.02975105188530606,0.0143,20.887
