Ticker,Close Price,Sell Alerts,Weekly WT1,Weekly StochRSI
BSX,43.55,🔴 Sell 2: Weekly Red Dot (Confirmed Last Week),-31.9,60.6
SNAP,5.65,📈 Sell 2: Weekly StochRSI >= 99,29.4,99.2
ZTS,73.02,🔴 Sell 2: Weekly Red Dot (Confirmed Last Week),-38.9,69.2
