Ticker,Final_Grade,Floor Tier,Status,Close Price,FCF_Yield,ROA,EV_EBITDA
ABEV,96.0,🟢 Oversold Floor,Live (Unfinished),3.02,0.4264499895639435,0.10296,1.201
INVA,77.3,🟢 Oversold Floor,Confirmed (Previous),20.97,0.07159816116460517,0.06949,6.619
TTD,76.0,🟢🟢 Deep Floor,Live (Unfinished),14.43,0.08598242320250839,0.06252,8.208
NYT,59.3,🟢🟢 Deep Floor,Confirmed (Previous),68.16,0.04238553008988061,0.103879996,18.277
CC,58.7,🟢🟢 Deep Floor,Confirmed (Previous),15.62,0.1316426868991022,0.01418,11.863
AGCO,56.7,🟢 Oversold Floor,Confirmed (Previous),113.39,0.04819645543365244,0.03472,11.813
HWKN,56.7,🟢🟢 Deep Floor,Live (Unfinished),129.13,0.030186003839424897,0.07048,8.719
GPI,54.7,🟢🟢 Deep Floor,Live (Unfinished),300.76,0.03766319718518612,0.05499,8.907
SGI,54.0,🟢 Oversold Floor,Live (Unfinished),69.87,0.04680238285515274,0.05534,16.486
WSO,52.0,🟢🟢 Deep Floor,Live (Unfinished),315.13,0.03720546460329129,0.08369,18.129
UTHR,51.3,🟢 Oversold Floor,Confirmed (Previous),515.46,0.026639539560786064,0.11607,12.199
JBGS,47.3,🟢🟢 Deep Floor,Confirmed (Previous),12.08,0.276118817331449,0.00068999996,19.231
CCI,31.3,🟢 Oversold Floor,Confirmed (Previous),76.14,0.03127101871181791,0.04725,20.306
MIR,20.0,🟢🟢 Deep Floor,Live (Unfinished),16.93,0.02736112521934723,0.0143,22.446
IPGP,8.7,🟢🟢 Deep Floor,Live (Unfinished),78.0,0.013658733192085677,0.0097,23.592
