Ticker,Composite_Grade,Valuation_Rank,Quality_Rank,Floor Tier,Status,Close Price,FCF_Yield,EV_EBITDA,NetDebt_EBITDA,Op_Margin,ROA,Sector
COCO,72.4,52.6,92.1,🟢 Oversold Floor,Live (Unfinished),57.98,0.031176866565547474,23.105,0.0,0.29209998,0.16974,Consumer Defensive
APTV,68.4,94.7,42.1,🟢🟢 Deep Floor,Live (Unfinished),45.17,0.17229022256951948,4.388,1.52,0.12675999,0.067150004,Consumer Cyclical
NXT,64.5,55.3,73.7,🟢🟢 Deep Floor,Live (Unfinished),81.81,0.02578147073085447,15.149,0.0,0.20858,0.11685,Technology
ANIP,63.2,86.8,39.5,🟢 Oversold Floor,Confirmed (Previous),76.14,0.07732762543497178,9.162,1.19,0.14974,0.05446,Healthcare
CNM,60.6,81.6,39.5,🟢🟢 Deep Floor,Live (Unfinished),42.76,0.06048077293861807,11.157,2.61,0.10583,0.07126,Industrials
MYRG,59.2,73.7,44.7,🟢 Oversold Floor,Live (Unfinished),295.18,0.038581214209567095,15.23,0.0,0.06199,0.08479,Industrials
COLL,59.2,94.7,23.7,🟢🟢 Deep Floor,Live (Unfinished),22.45,0.4656181073716086,4.516,2.69,0.05652,0.057550002,Healthcare
LMAT,57.9,44.7,71.1,🟢🟢 Deep Floor,Confirmed (Previous),78.87,0.026732959297104824,20.067,0.0,0.28983,0.07441,Healthcare
TJX,57.9,57.9,57.9,🟢🟢 Deep Floor,Live (Unfinished),131.59,0.030385211774337832,17.093,0.93,0.10909,0.13543001,Consumer Cyclical
POWL,55.2,42.1,68.4,🟢 Oversold Floor,Live (Unfinished),192.62,0.02713214411750951,26.926,0.0,0.20554,0.116210006,Industrials
BHF,54.0,55.3,52.6,🟢🟢 Deep Floor,Live (Unfinished),51.99,6.64847844010894,100.0,999.0,0.77778,0.0033399998,Financial Services
MPWR,51.3,10.5,92.1,🟢 Oversold Floor,Live (Unfinished),1355.47,0.0066702255668675626,66.434,0.0,0.30989,0.13573,Technology
BTI,47.4,34.2,60.5,🟢 Oversold Floor,Live (Unfinished),55.85,0.02932715517405875,56.812,2.9,0.34908,0.05119,Consumer Defensive
MCHP,44.8,47.4,42.1,🟢 Oversold Floor,Live (Unfinished),75.53,0.033275975055150536,30.74,3.4,0.23958,0.03536,Technology
RBC,44.8,31.6,57.9,🟢🟢 Deep Floor,Live (Unfinished),500.26,0.017883578762413643,26.941,1.23,0.2718,0.06024,Industrials
SAIA,43.4,44.7,42.1,🟢 Oversold Floor,Live (Unfinished),343.85,0.014834913780944991,15.358,0.3,0.13091,0.06303,Industrials
CIEN,40.8,21.1,60.5,🟢 Oversold Floor,Live (Unfinished),355.91,0.012549136804793427,51.603,0.64,0.18076,0.07734,Technology
SUPN,35.6,63.2,7.9,🟢🟢 Deep Floor,Live (Unfinished),43.39,0.0334914606643315,20.023,0.0,-0.02485,0.0038800002,Healthcare
LSCC,19.8,7.9,31.6,🟢 Oversold Floor,Live (Unfinished),121.66,0.00897387709164251,187.414,0.0,0.1333,0.03867,Technology
