Symbol,Price,$ Change,% Change,Quantity,$ Unrealized,% Unrealized,Current Balance
VOO,703.989990234375,7.3399658203125,1.0536087796000566,10.415,0.0,0.0,7332.055748291015
BSX,43.01499938964844,-0.08499908447265625,-0.19721366005080718,5.0,-22.675003051757812,-9.53733041083399,215.0749969482422
FMC,11.364999771118164,-0.7150001525878906,-5.9188754727122035,22.0,6.929994964599587,2.8506766617028325,250.0299949645996
RDDT,157.58999633789062,2.25,1.4484357236019703,5.0,479.1999816894531,155.20647180225203,787.9499816894531
ROL,34.790000915527344,0.22999954223632812,0.6655079082666893,7.0,-16.029993591308596,-6.175833561145244,243.5300064086914
SNAP,5.659999847412109,0.1399998664855957,2.536229474082302,30.0,17.399995422363276,11.417319830947031,169.79999542236328
TTD,14.310199737548828,0.34019947052001953,2.4352144883127798,7.0,2.171398162841797,2.215712411063058,100.1713981628418
ZTS,72.8499984741211,-0.01000213623046875,-0.013727883813725498,3.0,-9.450004577636719,-4.144738849840666,218.54999542236328
EZPZ,19.780000686645508,0.3040008544921875,1.5608998619434489,2.0,6.800001373291018,20.75702494899578,39.560001373291016
RUN,8.725000381469727,0.0950002670288086,1.1008142035808426,28.0,-11.759989318847659,-4.592669420779371,244.30001068115234
AMZN,256.8999938964844,5.0099945068359375,1.988961260461151,1.0,5.629993896484365,2.2406152332090437,256.8999938964844
