Ticker,Close Price,Sell Alerts,Weekly WT1,Weekly StochRSI
BSX,43.91,🔴 Sell 2: Weekly Red Dot (Confirmed Last Week),-31.0,62.0
SNAP,5.72,📈 Sell 2: Weekly StochRSI >= 99,29.8,100.0
ZTS,73.0,🔴 Sell 2: Weekly Red Dot (Confirmed Last Week),-38.3,69.1
