Symbol,Price,$ Change,% Change,Quantity,$ Unrealized,% Unrealized,Current Balance
VOO,701.030029296875,7.7900390625,1.123714611424291,10.415,0.0,0.0,7301.227755126953
BSX,43.54999923706055,-0.3600006103515625,-0.8198601949500567,5.0,-20.000003814697266,-8.412199291145011,217.74999618530273
RDDT,152.8300018310547,-4.7700042724609375,-3.0266523399294027,5.0,455.40000915527344,147.49797867377276,764.1500091552734
ROL,33.0,-0.529998779296875,-1.5806704401794467,7.0,-28.560000000000002,-11.003236245954694,231.0
SNAP,5.650000095367432,-0.06999969482421875,-1.2237709334229432,30.0,17.100002861022944,11.220474318256525,169.50000286102295
TTD,14.260000228881836,-0.22999954223632812,-1.587298453204734,7.0,1.8200016021728516,1.8571444920131137,99.82000160217285
ZTS,73.0199966430664,0.01999664306640625,0.027392661734803085,3.0,-8.940010070800781,-3.9210570485968343,219.05998992919922
EZPZ,19.30500030517578,0.18900108337402344,0.9887062725890263,2.0,5.8500006103515645,17.85714472024287,38.61000061035156
RUN,8.725000381469727,0.4549999237060547,5.501812557687491,28.0,-11.759989318847659,-4.592669420779371,244.30001068115234
AMZN,251.19000244140625,5.2299957275390625,2.1263602149853886,1.0,-0.07999755859376023,-0.031837290004282336,251.19000244140625
