Symbol,Price,$ Change,% Change,Quantity,$ Unrealized,% Unrealized,Current Balance
VOO,699.2999877929688,-3.260009765625,-0.464018699748574,10.415,0.0,0.0,7283.209372863769
BSX,45.04999923706055,2.0699996948242188,4.816192919662635,5.0,-12.500003814697266,-5.257625158652898,225.24999618530273
RDDT,162.3800048828125,4.6100006103515625,2.921975334671552,5.0,503.1500244140625,162.9635706604251,811.9000244140625
ROL,35.310001373291016,0.5800018310546875,1.670031208463817,7.0,-12.389990386962893,-4.773459079581944,247.1700096130371
SNAP,5.840000152587891,0.16000032424926758,2.816907202197346,30.0,22.800004577636713,14.960632924958473,175.20000457763672
TTD,14.970000267028809,0.630000114440918,4.393306190636435,7.0,6.79000186920166,6.928573335920062,104.79000186920166
ZTS,73.66999816894531,0.6999969482421875,0.9592941435275509,3.0,-6.9900054931640625,-3.0657918829666944,221.00999450683594
EZPZ,20.049999237060547,0.4219989776611328,2.149984573487291,2.0,7.339998474121096,22.405367747622392,40.099998474121094
RUN,8.329999923706055,-0.23000049591064453,-2.686921549484498,28.0,-22.82000213623047,-8.911974590420398,233.23999786376953
AMZN,253.5399932861328,-3.2400054931640625,-1.261782657748533,1.0,2.2699932861328023,0.9034080018039568,253.5399932861328
